Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 457.88
Real Time (s), 476.83
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
150, 69.4477022317, 0
151, 69.9072022465, 0
152, 70.3667022613, 0
153, 70.8262022761, 1
154, 71.2857022909, 0
155, 71.7452023057, 0
156, 72.2047023205, 1
157, 72.6642023353, 1
158, 73.1237023501, 1
159, 73.5832023649, 0
160, 74.0427023797, 0
161, 74.5022023945, 1
162, 74.9617024093, 1
163, 75.4212024241, 0
164, 75.8807024389, 0
165, 76.3402024537, 1
166, 76.7997024685, 0
167, 77.2592024833, 1
168, 77.7187024981, 1
169, 78.1782025129, 0
170, 78.6377025277, 2
171, 79.0972025425, 1
172, 79.5567025573, 1
173, 80.0162025721, 1
174, 80.4757025869, 2
175, 80.9352026017, 1
176, 81.3947026165, 1
177, 81.8542026313, 1
178, 82.3137026461, 1
179, 82.7732026609, 2
180, 83.2327026757, 1
181, 83.6922026905, 1
182, 84.1517027053, 4
183, 84.6112027201, 1
184, 85.0707027349, 0
185, 85.5302027497, 1
186, 85.9897027645, 2
187, 86.4492027793, 0
188, 86.9087027941, 2
189, 87.3682028089, 2
190, 87.8277028237, 6
191, 88.2872028385, 1
192, 88.7467028533, 2
193, 89.20620286810001, 4
194, 89.6657028829, 1
195, 90.1252028977, 3
196, 90.5847029125, 9
197, 91.0442029273, 5
198, 91.5037029421, 8
199, 91.9632029569, 3
200, 92.4227029717, 14
201, 92.8822029865, 6
202, 93.3417030013, 8
203, 93.8012030161, 13
204, 94.2607030309, 9
205, 94.7202030457, 9
206, 95.1797030605, 9
207, 95.6392030753, 8
208, 96.0987030901, 4
209, 96.5582031049, 11
210, 97.0177031197, 15
211, 97.4772031345, 16
212, 97.9367031493, 19
213, 98.3962031641, 23
214, 98.8557031789, 17
215, 99.3152031937, 11
216, 99.7747032085, 15
217, 100.2342032233, 22
218, 100.6937032381, 15
219, 101.1532032529, 27
220, 101.6127032677, 27
221, 102.0722032825, 27
222, 102.5317032973, 34
223, 102.9912033121, 19
224, 103.4507033269, 39
225, 103.9102033417, 35
226, 104.3697033565, 41
227, 104.8292033713, 48
228, 105.2887033861, 38
229, 105.7482034009, 31
230, 106.2077034157, 44
231, 106.6672034305, 41
232, 107.1267034453, 50
233, 107.5862034601, 55
234, 108.0457034749, 41
235, 108.50520348970001, 60
236, 108.96470350450001, 43
237, 109.42420351930001, 51
238, 109.88370353410001, 54
239, 110.34320354890001, 54
240, 110.8027035637, 61
241, 111.2622035785, 53
242, 111.7217035933, 51
243, 112.1812036081, 61
244, 112.6407036229, 60
245, 113.1002036377, 73
246, 113.5597036525, 64
247, 114.0192036673, 53
248, 114.4787036821, 75
249, 114.9382036969, 76
250, 115.3977037117, 78
251, 115.8572037265, 72
252, 116.3167037413, 69
253, 116.7762037561, 65
254, 117.2357037709, 70
255, 117.6952037857, 63
256, 118.1547038005, 86
257, 118.6142038153, 88
258, 119.0737038301, 82
259, 119.5332038449, 76
260, 119.9927038597, 83
261, 120.4522038745, 88
262, 120.9117038893, 91
263, 121.3712039041, 66
264, 121.8307039189, 85
265, 122.2902039337, 110
266, 122.7497039485, 93
267, 123.2092039633, 111
268, 123.6687039781, 99
269, 124.1282039929, 113
270, 124.5877040077, 97
271, 125.0472040225, 102
272, 125.5067040373, 110
273, 125.9662040521, 109
274, 126.4257040669, 112
275, 126.8852040817, 112
276, 127.3447040965, 94
277, 127.8042041113, 106
278, 128.2637041261, 144
279, 128.7232041409, 113
280, 129.1827041557, 94
281, 129.6422041705, 128
282, 130.1017041853, 114
283, 130.5612042001, 123
284, 131.0207042149, 139
285, 131.4802042297, 123
286, 131.9397042445, 135
287, 132.3992042593, 127
288, 132.8587042741, 142
289, 133.3182042889, 158
290, 133.7777043037, 133
291, 134.2372043185, 151
292, 134.6967043333, 133
293, 135.1562043481, 167
294, 135.6157043629, 152
295, 136.0752043777, 164
296, 136.5347043925, 157
297, 136.9942044073, 161
298, 137.4537044221, 156
299, 137.91320443690003, 162
300, 138.37270445170003, 166
301, 138.83220446650003, 194
302, 139.29170448130003, 168
303, 139.75120449610003, 183
304, 140.21070451090003, 163
305, 140.67020452570003, 209
306, 141.12970454050003, 182
307, 141.58920455530003, 208
308, 142.04870457010003, 197
309, 142.50820458490003, 214
310, 142.96770459970003, 216
311, 143.42720461450003, 204
312, 143.88670462930003, 214
313, 144.34620464410003, 186
314, 144.80570465890003, 209
315, 145.26520467370003, 231
316, 145.72470468850003, 215
317, 146.18420470330003, 199
318, 146.64370471810003, 243
319, 147.10320473290002, 237
320, 147.56270474770002, 239
321, 148.02220476250002, 208
322, 148.48170477730002, 203
323, 148.94120479210002, 240
324, 149.40070480690002, 223
325, 149.86020482170002, 223
326, 150.31970483650002, 210
327, 150.77920485130002, 216
328, 151.23870486610002, 215
329, 151.69820488090002, 259
330, 152.15770489570002, 239
331, 152.61720491050002, 262
332, 153.07670492530002, 227
333, 153.53620494010002, 235
334, 153.99570495490002, 227
335, 154.45520496970002, 223
336, 154.91470498450002, 230
337, 155.37420499930002, 243
338, 155.83370501410002, 239
339, 156.29320502890002, 220
340, 156.75270504370002, 223
341, 157.21220505850002, 252
342, 157.67170507330002, 242
343, 158.13120508810002, 218
344, 158.59070510290002, 242
345, 159.05020511770002, 238
346, 159.50970513250002, 234
347, 159.96920514730002, 238
348, 160.42870516210002, 241
349, 160.88820517690002, 257
350, 161.34770519170002, 220
351, 161.80720520650002, 231
352, 162.26670522130001, 227
353, 162.72620523610001, 241
354, 163.1857052509, 221
355, 163.6452052657, 218
356, 164.1047052805, 220
357, 164.5642052953, 217
358, 165.0237053101, 258
359, 165.4832053249, 221
360, 165.9427053397, 203
361, 166.4022053545, 214
362, 166.8617053693, 219
363, 167.3212053841, 237
364, 167.7807053989, 246
365, 168.2402054137, 231
366, 168.6997054285, 212
367, 169.1592054433, 230
368, 169.6187054581, 232
369, 170.0782054729, 249
370, 170.5377054877, 194
371, 170.9972055025, 202
372, 171.4567055173, 236
373, 171.9162055321, 225
374, 172.3757055469, 207
375, 172.8352055617, 202
376, 173.2947055765, 210
377, 173.7542055913, 225
378, 174.2137056061, 247
379, 174.6732056209, 215
380, 175.1327056357, 222
381, 175.5922056505, 244
382, 176.0517056653, 243
383, 176.5112056801, 227
384, 176.9707056949, 248
385, 177.43020570970003, 235
386, 177.88970572450003, 231
387, 178.34920573930003, 215
388, 178.80870575410003, 223
389, 179.26820576890003, 229
390, 179.72770578370003, 211
391, 180.18720579850003, 260
392, 180.64670581330003, 228
393, 181.10620582810003, 246
394, 181.56570584290003, 239
395, 182.02520585770003, 221
396, 182.48470587250003, 217
397, 182.94420588730003, 249
398, 183.40370590210003, 237
399, 183.86320591690003, 234
400, 184.32270593170003, 222
401, 184.78220594650003, 252
402, 185.24170596130003, 230
403, 185.70120597610003, 208
404, 186.16070599090003, 227
405, 186.62020600570003, 226
406, 187.07970602050003, 238
407, 187.53920603530003, 255
408, 187.99870605010003, 266
409, 188.45820606490003, 231
410, 188.91770607970003, 244
411, 189.37720609450002, 213
412, 189.83670610930002, 196
413, 190.29620612410002, 255
414, 190.75570613890002, 239
415, 191.21520615370002, 249
416, 191.67470616850002, 242
417, 192.13420618330002, 259
418, 192.59370619810002, 239
419, 193.05320621290002, 252
420, 193.51270622770002, 224
421, 193.97220624250002, 247
422, 194.43170625730002, 238
423, 194.89120627210002, 274
424, 195.35070628690002, 238
425, 195.81020630170002, 242
426, 196.26970631650002, 224
427, 196.72920633130002, 270
428, 197.18870634610002, 252
429, 197.64820636090002, 239
430, 198.10770637570002, 234
